1948	9	10	6	6	4	4	106	95	3 (1,3,2)	3 (1,4,2)
1949	13	16	7	7	3	2	98	96	3 (1,3,2)	3 (1,4,2)
1950	13	16	11	11	8	6	243	211	3 (1,3,3)	3 (1,3,4)
1951	10	12	8	8	5	3	137	126	0	0
1952	7	11	6	5	3	2	87	69	1 (1)	1 (2)
1953	14	14	6	7	4	3	104	99	3 (1,1,1)	3 (1,1,1)
1954	11	16	8	7	2	3	113	111	3 (3,3,4)	3 (3,2,4)
1955	12	13	9	9	6	4	199	158	3 (3,1,3)	2 (2,2)
1956	8	12	4	4	2	1	54	57	1 (2)	1 (1)
1957	8	8	3	3	2	2	84	79	1 (4)	1 (3)
1958	10	12	7	7	5	3	121	110	0	1 (3)
1959	11	14	7	7	2	2	77	77	3 (1,1,3)	3 (1,1,4)
1960	7	8	4	4	2	2	88	73	2 (4,1)	2 (4,1)
1961	11	12	8	8	7	5	205	189	1 (4)	1 (4)
1962	5	7	3	4	1	0	36	50	0	0
1963	9	10	7	7	2	3	118	113	1 (1)	0
1964	12	13	6	7	6	4	170	153	4 (2,2,2,2)	4 (2,2,2,2)
1965	6	10	4	4	1	1	84	88	1 (3)	1 (4)
1966	11	11	7	7	3	3	145	145	2 (2,1)	2 (2,1)
1967	8	8	6	6	1	1	122	122	1 (3)	1 (3)
1968	8	8	4	4	0	0	45	45	1 (2)	1 (2)
1969	18	18	12	12	5	5	166	166	2 (5,1)	2 (5,1)
1970	10	10	5	5	2	2	40	40	1 (3)	1 (3)
1971	13	13	6	6	1	1	97	97	3 (2,1,1)	3 (2,1,1)
1972	7	7	3	3	0	0	36	36	1 (1)	1 (1)
1973	8	8	4	4	1	1	48	48	0	0
1974	11	11	4	4	2	2	68	68	1 (3)	1 (3)
1975	9	9	6	6	3	3	76	76	1 (3)	1 (3)
1976	10	10	6	6	2	2	84	84	1 (1)	1 (1)
1977	6	6	5	5	1	1	25	25	1 (1)	1 (1)
1978	12	12	5	5	2	2	63	63	0	0
1979	9	9	5	5	2	2	93	93	3 (1,2,3)	3 (1,2,3)
1980	11	11	9	9	2	2	149	149	1 (3)	1 (3)
1981	12	12	7	7	3	3	100	100	0	0
1982	6	6	2	2	1	1	32	32	0	0
1983	4	4	3	3	1	1	17	17	1 (3)	1 (3)
1984	13	13	5	5	1	1	84	84	1 (3)	1 (3)
1985	11	11	7	7	3	3	88	88	6 (1,1,3,3,1,2)	6 (1,1,3,3,1,2)
1986	6	6	4	4	0	0	36	36	2 (1,1)	2 (1,1)
1987	7	7	3	3	1	1	34	34	1 (1)	1 (1)
1988	12	12	5	5	3	3	103	103	1 (1)	1 (1)
1989	11	11	7	7	2	2	135	135	3 (1,4,1)	3 (1,4,1)
1990	14	14	8	8	1	1	97	97	0	0
1991	8	8	4	4	2	2	36	36	1 (2)	1 (2)
1992	7	7	4	4	1	1	73	76	1 (4)	1 (5)
1993	8	8	4	4	1	1	39	39	1 (3)	1 (3)
1994	7	7	3	3	0	0	32	32	0	0
1995	19	19	11	11	5	5	228	228	2 (2,3)	2 (2,3)
1996	13	13	9	9	6	6	166	166	2 (2,3)	2 (2,3)
1997	8	8	3	3	1	1	41	41	1 (1)	1 (1)
1998	14	14	10	10	3	3	182	182	3 (2,1,2)	3 (2,1,2)
1999	12	12	8	8	5	5	177	177	3 (3,2,1)	3 (3,2,1)
2000	15	15	8	8	3	3	119	119	0	0
2001	15	15	9	9	4	4	110	110	0	0
2002	12	12	4	4	2	2	67	67	1 (1)	1 (1)
2003	16	16	7	7	3	3	176	176	2 (1,2)	2 (1,2)
2004	15	15	9	9	6	6	227	227	6 (1,4,1,2,3,3)	6 (1,4,1,2,3,3)
2005	28	28	15	15	7	7	250	250	6 (1,3,3,1,3,3)	6 (1,3,3,1,3,3)
2006	10	10	5	5	2	2	79	79	0	0
2007	15	15	6	6	2	2	74	74	1 (1)	1 (1)
2008	16	16	8	8	5	5	146	146	3 (1,2,2)	3 (1,2,2)
2009	9	9	3	3	2	2	53	53	0	0
2010	19	19	12	12	5	5	165	165	0	0
2011	19	19	7	7	4	4	126	126	1 (1)	1 (1)
2012	19	19	10	10	2	2	129	129	2 (1,1)	2 (1,1)
2013	14	14	2	2	0	0	36	36	0	0
2014	8	8	6	6	2	2	67	67	1 (2)	1 (2)
2015	11	11	4	4	2	2	63	63	0	0
2016	15	15	7	7	4	4	141	141	2 (1,1)	2 (1,1)
2017	17	17	10	10	6	6	223	223	3 (4,1,1)	3 (4,1,1)
2018	15	15	8	8	2	2	132	132	2 (1,5)	2 (1,5)
Notes:
" " = Not available in original HURDAT

Named Storms = Tropical Storms, Hurricanes and Subtropical Storms

Hurricanes = Saffir-Simpson Hurricane Scale 1 to 5

Major Hurricanes = Saffir-Simpson Hurricane Scale 3, 4, or 5

"ACE" - Accumulated Cyclone Energy = An index that combines the numbers of systems, how long they existed and how intense they became. It is calculated by squaring the maximum sustained surface wind in the system every six hours that the cyclone is a Named Storm and summing it up for the season.

It is expressed in 10 to the 4th kt**2.
U.S. Hurricanes = Number of Hurricane strikes on the continental United States. Inside the parenthesis is the highest Saffir-Simpson Scale category for each U.S. hurricane at landfall.

Red highlight indicates that revisions have been made. The remainder of the 20th century is currently under revision.
